"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 16:52:36 IST 2024","Mon Feb 12 16:54:09 IST 2024","92841","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_location_popUp","Test_004 verify location pop up","Test Description: verify location pop up"
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","2","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_003_clickOnLabour","Test_003_click On Labour","Test Description: click On Labour"
"broken","Mon Feb 12 12:56:34 IST 2024","Mon Feb 12 12:56:34 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","initialization","initialization",""
"passed","Mon Feb 12 16:56:53 IST 2024","Mon Feb 12 16:59:51 IST 2024","177439","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","check_invoice_and_signout","Test_007 check invoice and signout","Test Description: check invoice and signout"
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","1","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_009_clickonSignOut","Test_008_click On Sign Out ","Test Description: click On Sign out "
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_004_clickonReferenceNumber","Test_005_click on Reference Number","Test Description: click on Reference Number  "
"passed","Mon Feb 12 16:54:09 IST 2024","Mon Feb 12 16:54:41 IST 2024","32179","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_counter_sale_page","Test_005 verify counter sale page","Test Description: verify counter sale page "
"passed","Mon Feb 12 16:50:46 IST 2024","Mon Feb 12 16:50:59 IST 2024","12976","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_all_fields","Test_002 verify all the elements in the field","Test Description :  verify all the elements in the field"
"passed","Mon Feb 12 16:54:41 IST 2024","Mon Feb 12 16:56:53 IST 2024","131828","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","add_parts_in_counter_sale","Test_006 add part number and core part in counter sale","Test Description: add part number and core part in counter sale"
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_002_clickoNewRo","Test_002_click On RO Number","Test Description: click On RO Number"
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_005_clickonAddPart","Test_005_click on Add Part","Test Description: click on Add part"
"skipped","Mon Feb 12 12:56:34 IST 2024","Mon Feb 12 12:56:34 IST 2024","1","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_001_gotoCompleteRo","Test_001_Login the page and Go to CompleteRo Screen","Test Description: Login the page and Go to CompleteRo Screen"
"broken","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","generateAllure","generateAllure",""
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_008_clickonPartNumber","Test_008_click On Part Number ","Test Description: click On Part Number  "
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","1","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_006_clickOnAddPart","Test_006_click On Add Part ","Test Description: click On Add Part  "
"skipped","Mon Feb 12 12:56:35 IST 2024","Mon Feb 12 12:56:35 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_007_verifyGLAccoutGroup","Test_007_verify GLAccoutGroup","Test Description: verify GLAccoutGroup "
"passed","Mon Feb 12 16:50:59 IST 2024","Mon Feb 12 16:52:36 IST 2024","97023","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","add_new_counter_sale","Test_003 click on add new counter sale","Test Description : Click on add new counter sale"
"passed","Mon Feb 12 16:50:01 IST 2024","Mon Feb 12 16:50:46 IST 2024","44823","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","goto_countersaleManager_screen","Test_001 Login the page and Go to counterSaleManager","Test Description : Login the page and Go to counterSaleManager"
