"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 16:24:07 IST 2024","Wed Jan 10 16:24:35 IST 2024","27892","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_003_enterfieldsandclickonOK","Test_003 enter Customer Code and name in the field and click on OK","Test Description: enter Customer Code and name in the field and click on OK"
"passed","Wed Jan 10 16:22:50 IST 2024","Wed Jan 10 16:23:29 IST 2024","38634","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_001_gotoCustomerScreen","Login the page and go to customer screen","Test Description: Login the page and go to customer screen"
"broken","Wed Jan 10 15:56:56 IST 2024","Wed Jan 10 15:59:13 IST 2024","136754","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","ClickOnSummary_pause_selectbutton","T_013 Click on Summary and pause and select button","Test Description - Click on Summary and pause and select button"
"passed","Wed Jan 10 15:48:48 IST 2024","Wed Jan 10 15:50:00 IST 2024","72049","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyUnitNumber_ClickOnParts","T_002 Verify Unit Number and Click on Parts ","Test Description - Verify Unit Number and Click on Parts"
"passed","Wed Jan 10 15:51:16 IST 2024","Wed Jan 10 15:51:42 IST 2024","25614","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartPannel_ClickOnIssuePart","T_004 verify the part pannel and click on issue part","Test Description - verify the part pannel and click on issue part"
"passed","Wed Jan 10 16:24:35 IST 2024","Wed Jan 10 16:24:56 IST 2024","21493","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_004_searchnameandclickonSignout","Check the Customer name in search field and sign out the page","Test Description : Check the Customer name in search field and sign out the page"
"broken","Wed Jan 10 15:56:25 IST 2024","Wed Jan 10 15:56:46 IST 2024","21325","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","clickOnLabour_clickOnVMRS","T_010 click on Labour and click on VMRS","Test Description - click on Labour and click on VMRS"
"passed","Wed Jan 10 15:56:46 IST 2024","Wed Jan 10 15:56:46 IST 2024","53","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","ClickOnMoisesOlivas_Select_OkButton","T_011 Click on MoisesOlivas and Select and ok button","Test Description -Click on MoisesOlivas and Select and ok button"
"passed","Wed Jan 10 15:48:13 IST 2024","Wed Jan 10 15:48:48 IST 2024","35040","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","gotoTechRo","T_001 Sign in the page and Go to the Tech RO","Test Description - Sign in the page and Go to the Tech RO"
"passed","Wed Jan 10 15:53:55 IST 2024","Wed Jan 10 15:55:00 IST 2024","65673","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","clickOnCoreReturn_deleteCorePart","T_007 Click on CoreReturn and delete core part","Test Description - Click on CoreReturn and delete core part"
"broken","Wed Jan 10 15:55:28 IST 2024","Wed Jan 10 15:56:25 IST 2024","56851","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","EnterPartNumber_clickIssuePart","T_009 enter Part number and click on Issue part","Test Description - enter Part number and click on Issue part"
"failed","Wed Jan 10 15:55:00 IST 2024","Wed Jan 10 15:55:28 IST 2024","27476","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","clickOnNonCatalogPart_enterValue","T_008 click on Non-Catalog Part and enter the value","Test Description - click on Non-Catalog Part and enter the value"
"passed","Wed Jan 10 15:52:32 IST 2024","Wed Jan 10 15:53:55 IST 2024","82527","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartadded_","T_006 Enter CorePart and click on search icon","Test Description - Enter CorePart and click on search icon"
"passed","Wed Jan 10 15:50:01 IST 2024","Wed Jan 10 15:51:16 IST 2024","75319","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyElement_EnterPartNumber","T_003 Check the Generic setup of the screen and enter Part number","Test Description - Check the Generic setup of the screen and enter Part number"
"passed","Wed Jan 10 16:23:29 IST 2024","Wed Jan 10 16:24:07 IST 2024","37706","Surefire suite","Surefire test","tests.administration.CreateCustomer","tests.administration.CreateCustomer","Test_002_verifyAllFields","Test_002 verify all elements in the field","Test Description: verify all elements in the field"
"broken","Wed Jan 10 15:56:46 IST 2024","Wed Jan 10 15:56:56 IST 2024","10075","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","ClickOnMoisesOlivas_Select_OkButton1","T_012 Click on FirstLaborItem and Select and Ok button","Test Description - Click on FirstLaborItem and Select and Ok button"
"passed","Wed Jan 10 15:51:42 IST 2024","Wed Jan 10 15:52:32 IST 2024","50407","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartadded_deletePart","T_005 Verify part added , click on cross button and delete the part","Test Description - Verify part added , click on cross button and delete the part"
