"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jan 18 15:44:08 IST 2024","Thu Jan 18 15:44:08 IST 2024","0","Surefire suite","Surefire test","tests.service.InquireFXG_UnitHistoryTest","tests.service.InquireFXG_UnitHistoryTest","enterUnitNumber","T_003 Enter Unit Number and verify history screen","Test Description : Enter Unit Number and verify history screen"
"broken","Thu Jan 18 15:43:39 IST 2024","Thu Jan 18 15:43:39 IST 2024","0","Surefire suite","Surefire test","tests.nonRepair.ApproveNonRepairBillTest","tests.nonRepair.ApproveNonRepairBillTest","initialization","initialization",""
"skipped","Thu Jan 18 15:43:31 IST 2024","Thu Jan 18 15:43:31 IST 2024","1","Surefire suite","Surefire test","tests.fleet.SetUpWorkRequiredTest","tests.fleet.SetUpWorkRequiredTest","search_Number","Search Number, click on hyperlink and go to work required","Search Number, click on hyperlink and go to work required"
"broken","Thu Jan 18 15:52:31 IST 2024","Thu Jan 18 15:52:31 IST 2024","0","Surefire suite","Surefire test","tests.estimating.PerformTheWorkOnAnEstimateTechTest","tests.estimating.PerformTheWorkOnAnEstimateTechTest","initialization","initialization",""
"skipped","Thu Jan 18 15:43:28 IST 2024","Thu Jan 18 15:43:28 IST 2024","0","Surefire suite","Surefire test","tests.fleet.CreateRedTagDMSTest","tests.fleet.CreateRedTagDMSTest","Test_017_clickonSave_Exit","Test_017_click on Save/Exit","Test Description :click on Save_Exit"
"skipped","Thu Jan 18 15:43:48 IST 2024","Thu Jan 18 15:43:48 IST 2024","0","Surefire suite","Surefire test","tests.parts.CounterSaleTest","tests.parts.CounterSaleTest","add_parts_in_counter_sale","Test_006 add part number and core part in counter sale","Test Description: add part number and core part in counter sale"
"skipped","Thu Jan 18 15:44:05 IST 2024","Thu Jan 18 15:44:05 IST 2024","0","Surefire suite","Surefire test","tests.service.EC_ServiceManager_WoLaborTest","tests.service.EC_ServiceManager_WoLaborTest","clickOnBacktoCompleteRo_and_ReferenceNumber","Check that click on Back to Complete RO and reference number","Test Description -Check that click on Back to Complete RO and reference number"
"broken","Thu Jan 18 15:43:43 IST 2024","Thu Jan 18 15:43:43 IST 2024","0","Surefire suite","Surefire test","tests.nonRepair.ApproveNonRepairBill_DMSTest","tests.nonRepair.ApproveNonRepairBill_DMSTest","initialization","initialization",""
"skipped","Thu Jan 18 15:43:51 IST 2024","Thu Jan 18 15:43:51 IST 2024","0","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice_konaEUTest","tests.parts.JournalizePartsInvoice_konaEUTest","Test_003_clickOnServiceBoard","Test_003_Click On Service Board   ","Test Description: Click On Service Board  "
"broken","Thu Jan 18 15:43:50 IST 2024","Thu Jan 18 15:43:50 IST 2024","0","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice_konaEUTest","tests.parts.JournalizePartsInvoice_konaEUTest","initialization","initialization",""
"skipped","Thu Jan 18 15:52:20 IST 2024","Thu Jan 18 15:52:20 IST 2024","3","Surefire suite","Surefire test","tests.cGVUnitFunctionalityTest.InquireFXG_UnitHistoryTest","tests.cGVUnitFunctionalityTest.InquireFXG_UnitHistoryTest","enterUnitNumber","Enter the Unit Number And verify Text","Test Description -Enter the Unit Number And verify Text "
"broken","Thu Jan 18 15:52:18 IST 2024","Thu Jan 18 15:52:18 IST 2024","0","Surefire suite","Surefire test","tests.cGVUnitFunctionalityTest.InquireFXG_UnitHistoryTest","tests.cGVUnitFunctionalityTest.InquireFXG_UnitHistoryTest","initialization","initialization",""
"skipped","Thu Jan 18 15:44:12 IST 2024","Thu Jan 18 15:44:12 IST 2024","0","Surefire suite","Surefire test","tests.techRo.cGVTech_WoComplianceTest","tests.techRo.cGVTech_WoComplianceTest","Test_005_VerifyCorrectionTaskArea","verify Correction Task Area Text","Test Description -verify Correction Task Area Text"
"passed","Thu Jan 18 14:15:40 IST 2024","Thu Jan 18 14:19:07 IST 2024","207234","Surefire suite","Surefire test","tests.techRo.ServiceManagerPartsRelatedTasks","tests.techRo.ServiceManagerPartsRelatedTasks","Test_002_clickOnReference","Test_002_click On Reference Number","Test Description: click On Reference Number"
"skipped","Thu Jan 18 15:44:04 IST 2024","Thu Jan 18 15:44:04 IST 2024","0","Surefire suite","Surefire test","tests.service.EC_ServiceManager_WoLaborTest","tests.service.EC_ServiceManager_WoLaborTest","clickViewProfitLoss_and_clickOk","Check that click on View Profit and Loss hyperlink,verify and click Ok","Test Description -Check that click on View Profit and Loss hyperlink,verify and click Ok"
"skipped","Thu Jan 18 15:43:28 IST 2024","Thu Jan 18 15:43:28 IST 2024","0","Surefire suite","Surefire test","tests.fleet.CreateRedTagDMSTest","tests.fleet.CreateRedTagDMSTest","Test_022_verifytextCreatedDate","Test_022_verify text Created Date:","Test Description :verify text Created Date:"
"skipped","Thu Jan 18 15:44:08 IST 2024","Thu Jan 18 15:44:08 IST 2024","1","Surefire suite","Surefire test","tests.service.InquireFXG_UnitHistoryTest","tests.service.InquireFXG_UnitHistoryTest","searchNumber","T_004 Enter Unit Number and Click on Search Button","Test Description: Enter Unit Number and Click on Search Button"
"skipped","Thu Jan 18 15:43:28 IST 2024","Thu Jan 18 15:43:28 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateRedTagDMSTest","tests.fleet.CreateRedTagDMSTest","Test_018_verifyelementpresentUnavailable","Test_018_verify element present Unavailable","Test Description :verify element present Unavailable"
"skipped","Thu Jan 18 15:52:27 IST 2024","Thu Jan 18 15:52:27 IST 2024","13","Surefire suite","Surefire test","tests.estimating.ApproveanEstimateDMSTest","tests.estimating.ApproveanEstimateDMSTest","T_004verifyTax","verify Tax Text ","Test Description -vverify Tax Text  "
"skipped","Thu Jan 18 15:43:55 IST 2024","Thu Jan 18 15:43:55 IST 2024","0","Surefire suite","Surefire test","tests.service.CreateRoTest","tests.service.CreateRoTest","Test_003_clickAddLabor","Test_003_Click on Add labor","Test Description: Click on Add labor"
"skipped","Thu Jan 18 15:44:18 IST 2024","Thu Jan 18 15:44:18 IST 2024","0","Surefire suite","Surefire test","tests.techRo.CreateNonRepairBill_ServiceManagerTest","tests.techRo.CreateNonRepairBill_ServiceManagerTest","Test_012_verifyDescriptionText","Test_010_ verify Description Text","Test Description:verify Description Text "
"skipped","Thu Jan 18 15:43:27 IST 2024","Thu Jan 18 15:43:27 IST 2024","0","Surefire suite","Surefire test","tests.fleet.CreateRedTagDMSTest","tests.fleet.CreateRedTagDMSTest","Test_009_verifytextStatus","Test_009_Verify text Status:","Test Description :Verify text Status:"
"skipped","Thu Jan 18 15:43:26 IST 2024","Thu Jan 18 15:43:26 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateRedTagDMSTest","tests.fleet.CreateRedTagDMSTest","Test_003_clickUnitNumber","Test_003_click on unit number","Test Description: Click on unit number"
"skipped","Thu Jan 18 15:52:15 IST 2024","Thu Jan 18 15:52:15 IST 2024","10","Surefire suite","Surefire test","tests.administration.CreateVendorTest","tests.administration.CreateVendorTest","Test_003_enterfieldandclickonOK","Test_003 enter the vendor code and name in the field and click on Ok","Test Description: enter the vendor code and name in the field and click on Ok"
"skipped","Thu Jan 18 15:52:28 IST 2024","Thu Jan 18 15:52:28 IST 2024","3","Surefire suite","Surefire test","tests.estimating.ApproveanEstimateDMSTest","tests.estimating.ApproveanEstimateDMSTest","T_006clickOnBackToApprovals","click On Back To Approvals ","Test Description -click On Back To Approvals "
