"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 19 10:52:37 IST 2024","Mon Feb 19 10:52:37 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","generateAllure","generateAllure",""
"passed","Tue Feb 13 14:47:17 IST 2024","Tue Feb 13 14:49:02 IST 2024","105498","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","gotoTechRo","T_001 Login the page and Go to the Tech Ro","Test Description - Login the page and Go to the Tech Ro "
"skipped","Mon Feb 19 13:18:25 IST 2024","Mon Feb 19 13:18:25 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","create_new_part","Test_003 Enter part number and create new part","Test Description:  Enter part number and create new part"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","1","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_001_gotoOrderPartsScreen","Test_001 Login to the page and go to Order Part screen ","Test Description:  Login to the page and go to Order Part screen  "
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","2","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_001_gotoCompleteRo","Test_001_Login the page and Go to CompleteRo Screen","Test Description: Login the page and Go to CompleteRo Screen"
"broken","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"skipped","Mon Feb 19 13:18:25 IST 2024","Mon Feb 19 13:18:25 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","search_the_number","Test_004 Search Part number ","Test Description:  Search Part number"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_006_inputCoreParentPart","Test_006 input Core Parent Part and sign out  ","Test Description: input Core Parent Part and sign out "
"passed","Tue Feb 13 14:53:16 IST 2024","Tue Feb 13 14:54:07 IST 2024","50841","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","again_Add_AeroDynamicDevice","T_008 Check that again add Aerodynamic Device ","Test Description - Check that again add Aerodynamic Device"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_008_verifyRequiredPart","Test_008 verify Required Part  ","Test Description: verify Required Part "
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_005_clickonPartTextArea","Test_005_click on part Text Area","Test Description:click on part Text Area"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_007_verifyPO","Test_007 verify PO  ","Test Description: verify PO "
"passed","Tue Feb 13 14:50:00 IST 2024","Tue Feb 13 14:50:47 IST 2024","47082","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","verifyElement_Click_UnitHistory","T_003 Verify the element and click on Unit History","Test Description - Verify the element and click on Unit History"
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_004_clickonAddPart","Test_004_click on Add Part","Test Description: click on Add Part"
"passed","Tue Feb 13 14:50:48 IST 2024","Tue Feb 13 14:51:10 IST 2024","22298","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","clickOn_Labour_MoreWork_VMRSTab","T_004 Click on Labour,MoreWork and VMRS tab","Test Description - Click on Labour,MoreWork and VMRS tab"
