"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 15:58:50 IST 2024","Tue Jan 16 15:59:46 IST 2024","55971","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_location_popUp","Test_004 verify location pop up","Test Description: verify location pop up"
"passed","Tue Jan 16 16:19:31 IST 2024","Tue Jan 16 16:20:04 IST 2024","32616","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_002_clickAddNewROAndSelectUnit","Test_002_Click on Add new RO and select Unit","Test Description: Click on Add new RO and select Unit"
"passed","Tue Jan 16 15:59:46 IST 2024","Tue Jan 16 16:00:09 IST 2024","23124","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_counter_sale_page","Test_005 verify counter sale page","Test Description: verify counter sale page "
"passed","Tue Jan 16 15:57:43 IST 2024","Tue Jan 16 15:58:49 IST 2024","66636","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","add_new_counter_sale","Test_003 click on add new counter sale","Test Description : Click on add new counter sale"
"passed","Tue Jan 16 15:57:24 IST 2024","Tue Jan 16 15:57:43 IST 2024","18949","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_all_fields","Test_002 verify all the elements in the field","Test Description :  verify all the elements in the field"
"passed","Tue Jan 16 16:20:04 IST 2024","Tue Jan 16 16:20:23 IST 2024","19478","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_003_clickAddLabor","Test_003_Click on Add labor","Test Description: Click on Add labor"
"passed","Tue Jan 16 15:56:50 IST 2024","Tue Jan 16 15:57:24 IST 2024","33947","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","goto_countersaleManager_screen","Test_001 Login the page and Go to counterSaleManager","Test Description : Login the page and Go to counterSaleManager"
"passed","Tue Jan 16 16:19:03 IST 2024","Tue Jan 16 16:19:31 IST 2024","28451","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_001_gotoCompleteROScreen","Test_001_Login the page and go to the CompleteRo","Test Description: Login the page and go to the CompleteRo"
"broken","Tue Jan 16 16:20:23 IST 2024","Tue Jan 16 16:20:43 IST 2024","19599","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_004_selectServiceProgramAndAdd","Test_004_Select service program and add","Test Description: Select service program and add"
"broken","Tue Jan 16 16:23:27 IST 2024","Tue Jan 16 16:23:40 IST 2024","12326","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_007_removeLabor","Test_007_Remove labor","Test Description: Remove labor"
"broken","Tue Jan 16 16:20:43 IST 2024","Tue Jan 16 16:23:27 IST 2024","163908","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_005_AddPart","Test_005_Add Part","Test Description: Add Part"
"broken","Tue Jan 16 16:00:09 IST 2024","Tue Jan 16 16:02:28 IST 2024","138927","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","add_parts_in_counter_sale","Test_006 add part number and core part in counter sale","Test Description: add part number and core part in counter sale"
"broken","Tue Jan 16 16:23:27 IST 2024","Tue Jan 16 16:23:27 IST 2024","66","Surefire suite","Surefire test","tests.service.CreateRo","tests.service.CreateRo","Test_006_removePart","Test_006_Remove Part","Test Description: Remove Part"
