"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 13:50:41 IST 2024","Fri Jan 19 13:52:19 IST 2024","97539","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_003_verifyPurchesOrder","Test003: verify Purches Order ","Test Description :  verify Purches Order "
"passed","Fri Jan 19 13:52:19 IST 2024","Fri Jan 19 13:53:36 IST 2024","76691","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_004_verifyNotes","Test004: verify Notes ","Test Description :verify Notes "
"skipped","Fri Jan 19 13:58:00 IST 2024","Fri Jan 19 13:58:00 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_004_enterFieldsAndClickOnSave","Test_004_Enter unit, description, VIN number and click on Save/Exit","Test Description: Enter unit, description, VIN number and click on Save/Exit"
"skipped","Fri Jan 19 13:56:28 IST 2024","Fri Jan 19 13:56:28 IST 2024","123","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_008_verifyHash","Test008: verify Hash ","Test Description :verify Vendor Hash  "
"skipped","Fri Jan 19 13:56:28 IST 2024","Fri Jan 19 13:56:28 IST 2024","5","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_007_verifyLink","Test007: verify Link   ","Test Description :verify Vendor Link   "
"skipped","Fri Jan 19 13:57:59 IST 2024","Fri Jan 19 13:57:59 IST 2024","3","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_001_gotoUnitMasterScreen","Test_001_Login the page and Go to create unit Screen","Test Description: Login the page and Go to create unit Screen"
"skipped","Fri Jan 19 13:58:00 IST 2024","Fri Jan 19 13:58:00 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_003_verifyAllFormFields","Test_003_verify all element present in New Unit ","Test Description:verify all element present in New Unit"
"passed","Fri Jan 19 13:53:36 IST 2024","Fri Jan 19 13:55:33 IST 2024","116647","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_005_verifyvoidedDate","Test005: verify Voided Date  ","Test Description :verify Voided Date "
"broken","Fri Jan 19 13:56:28 IST 2024","Fri Jan 19 13:56:28 IST 2024","1","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"passed","Fri Jan 19 13:49:09 IST 2024","Fri Jan 19 13:50:04 IST 2024","54810","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_001_gotoReceiveParts","Test_001 Login to the page and go to Receive Part screen ","Test Description: Login to the page and go to Receive Part screen  "
"passed","Fri Jan 19 13:50:04 IST 2024","Fri Jan 19 13:50:41 IST 2024","36871","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_002_clickOnPoNumber","Test002: click on PO number and verify Link/DeLink Labor","Test Description : Click on PO number and Verify Link/DeLink Labor"
"skipped","Fri Jan 19 13:57:59 IST 2024","Fri Jan 19 13:57:59 IST 2024","0","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_002_clickAddNewROAndSelectUnit","Test_002_Search and select owner","Test Description: Search and select owner"
"skipped","Fri Jan 19 13:58:00 IST 2024","Fri Jan 19 13:58:00 IST 2024","1","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_005_Verify_unit_created","Test_005_Verify unit created and Signout","Test Description: Verify unit created and Signout"
"broken","Fri Jan 19 13:57:59 IST 2024","Fri Jan 19 13:57:59 IST 2024","3","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","initialization","initialization",""
"broken","Fri Jan 19 13:55:33 IST 2024","Fri Jan 19 13:56:26 IST 2024","52242","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_006_verifyVendorPart","Test006: verify Vendor Part   ","Test Description :verify Vendor Part  "
