"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 10 15:51:16 IST 2024","Wed Jan 10 15:51:42 IST 2024","25614","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartPannel_ClickOnIssuePart","T_004 verify the part pannel and click on issue part","Test Description - verify the part pannel and click on issue part"
"broken","Thu Jan 11 17:04:43 IST 2024","Thu Jan 11 17:07:27 IST 2024","163613","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","checkVendorName_SignOutPage","Test_004 Check vendor name in search box and sign out the page","Test Description: Check vendor name in search box and sign out the page"
"broken","Thu Jan 11 17:04:05 IST 2024","Thu Jan 11 17:04:43 IST 2024","37825","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","Test_003_enterfieldandclickonOK","Test_003 enter the vendor code and name in the field and click on Ok","Test Description: enter the vendor code and name in the field and click on Ok"
"passed","Wed Jan 10 14:23:23 IST 2024","Wed Jan 10 14:23:47 IST 2024","23999","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","gotoPartsMaster","Test_001 Login to the page and Go To Parts Master","Test Description:  Login to the page and Go To Parts Master"
"passed","Thu Jan 11 17:03:09 IST 2024","Thu Jan 11 17:03:51 IST 2024","41481","Surefire suite","Surefire test","tests.administration.CreateVendor","tests.administration.CreateVendor","Test_001_gotoVendorsScreen","Test_001 Login to the page and go to vendors screen ","Test Description:  Login to the page and go to vendors screen  "
"passed","Wed Jan 10 14:23:47 IST 2024","Wed Jan 10 14:24:23 IST 2024","35918","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","click_NewPart_Verify_All_Elements","Test_002 click on NewParts and verify all element","Test Description:  Click on NewParts and Verify all element"
"broken","Wed Jan 10 14:24:23 IST 2024","Wed Jan 10 14:24:48 IST 2024","24749","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","create_new_part","Test_003 Enter part number and create new part","Test Description:  Enter part number and create new part"
"passed","Wed Jan 10 15:02:44 IST 2024","Wed Jan 10 15:03:06 IST 2024","21100","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_002_clickAddNewROAndSelectUnit","Test_002_Search and select owner","Test Description: Search and select owner"
"broken","Wed Jan 10 15:55:28 IST 2024","Wed Jan 10 15:56:25 IST 2024","56851","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","EnterPartNumber_clickIssuePart","T_009 enter Part number and click on Issue part","Test Description - enter Part number and click on Issue part"
"broken","Wed Jan 10 15:56:25 IST 2024","Wed Jan 10 15:56:46 IST 2024","21325","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","clickOnLabour_clickOnVMRS","T_010 click on Labour and click on VMRS","Test Description - click on Labour and click on VMRS"
"broken","Wed Jan 10 14:24:48 IST 2024","Wed Jan 10 14:25:05 IST 2024","16390","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","search_the_number","Test_004 Search Part number ","Test Description:  Search Part number"
"passed","Wed Jan 10 15:22:07 IST 2024","Wed Jan 10 15:22:42 IST 2024","34938","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_001_gotoUnitMasterScreen","Test_001_Login the page and Go to create unit Screen","Test Description: Login the page and Go to create unit Screen"
"passed","Wed Jan 10 15:03:43 IST 2024","Wed Jan 10 15:04:07 IST 2024","23828","Surefire suite","Surefire test","tests.fleet.CreateUnit","tests.fleet.CreateUnit","Test_004_enterFieldsAndClickOnSave","Test_004_Enter unit, description, VIN number and click on Save/Exit","Test Description: Enter unit, description, VIN number and click on Save/Exit"
"passed","Wed Jan 10 15:51:42 IST 2024","Wed Jan 10 15:52:32 IST 2024","50407","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartadded_deletePart","T_005 Verify part added , click on cross button and delete the part","Test Description - Verify part added , click on cross button and delete the part"
"broken","Wed Jan 10 15:56:56 IST 2024","Wed Jan 10 15:59:13 IST 2024","136754","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","ClickOnSummary_pause_selectbutton","T_013 Click on Summary and pause and select button","Test Description - Click on Summary and pause and select button"
"passed","Wed Jan 10 13:21:37 IST 2024","Wed Jan 10 13:21:49 IST 2024","11307","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","verify_standard_field","T_005 Verify the Description and click Cost and Pricing Tab","Test Description : Verify Standard field value"
"passed","Wed Jan 10 15:52:32 IST 2024","Wed Jan 10 15:53:55 IST 2024","82527","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartadded_","T_006 Enter CorePart and click on search icon","Test Description - Enter CorePart and click on search icon"
