"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 23 13:35:47 IST 2024","Tue Jan 23 13:36:32 IST 2024","45653","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","serviceBoard","Select checkBox ,click on GenerateJournal and service board","Test Description : T_002_Select checkBox ,click on GenerateJournal and service board"
"passed","Tue Jan 23 13:34:32 IST 2024","Tue Jan 23 13:35:47 IST 2024","74153","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","clickOnGererateJournals_checkbox","Click on dropdown,refresh button,generateJournalize and select check box","Test Description : T_001_Click on dropdown,refresh button,generateJournalize and select check box"
"passed","Tue Jan 23 13:10:26 IST 2024","Tue Jan 23 13:11:29 IST 2024","62993","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","verifyElement_Click_UnitHistory","T_003 Verify the element and click on Unit History","Test Description - Verify the element and click on Unit History"
"broken","Tue Jan 23 13:11:52 IST 2024","Tue Jan 23 13:13:18 IST 2024","86532","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_AeroDynamic_ClickIMG","T_006 Enter Aerodynamic Device and click on Image","Test Description : Enter Aerodynamic Device and click on Image"
"broken","Tue Jan 23 12:07:07 IST 2024","Tue Jan 23 12:10:10 IST 2024","182655","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","add_AeroDynamic_Delete_Labour","T_007 Check that add AeroDynamic Device and Delete it from Labour section","Test Description - Check that add AeroDynamic Device and Delete it from Labour section"
"passed","Tue Jan 23 13:33:57 IST 2024","Tue Jan 23 13:34:32 IST 2024","35258","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","gotoFinancialManager","Login the page and Go to the Financial Manager","Test Description : T_001_Login the page and Go to the Financial Manager"
"passed","Tue Jan 23 13:36:32 IST 2024","Tue Jan 23 13:37:39 IST 2024","66166","Surefire suite","Surefire test","tests.parts.JournalizePartsInvoice","tests.parts.JournalizePartsInvoice","financialManager","Click on Financial manager,verify and sign out the page","Test Description : T_003_Click on Financial manager,verify and sign out the page"
"passed","Tue Jan 23 13:11:29 IST 2024","Tue Jan 23 13:11:52 IST 2024","22268","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","clickOn_Labour_MoreWork_VMRSTab","T_004 Click on Labour,MoreWork and VMRS tab","Test Description - Click on Labour,MoreWork and VMRS tab"
"passed","Tue Jan 23 13:09:25 IST 2024","Tue Jan 23 13:10:26 IST 2024","60933","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_Unit_Number","T_002 Verify the Element and Enter the Unit Number","Test Description - Verify the Element and Enter the Unit Number "
"passed","Tue Jan 23 13:07:54 IST 2024","Tue Jan 23 13:09:25 IST 2024","91128","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","gotoTechRo","T_001 Login the page and Go to the Tech Ro","Test Description - Login the page and Go to the Tech Ro "
"passed","Tue Jan 23 13:11:52 IST 2024","Tue Jan 23 13:11:52 IST 2024","0","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_AeroDynamic_Device_First","T_005 Enter AderoDynamic Device in search field","Test Description - Enter AderoDynamic Device in search field"
