"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 14:39:19 IST 2024","Thu Jan 25 14:39:42 IST 2024","22766","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_013_click_PauseButton","Click on Pause button","Test_description : Click on Pause button"
"passed","Thu Jan 25 14:42:06 IST 2024","Thu Jan 25 14:42:29 IST 2024","22866","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_022_click_PlusButton","Click on plus button","Test_description : Click on plus button"
"passed","Thu Jan 25 14:35:35 IST 2024","Thu Jan 25 14:36:09 IST 2024","33318","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_003_click_MoreUnits","Click on More Units","Test_description : Click on More Units"
"passed","Thu Jan 25 14:38:56 IST 2024","Thu Jan 25 14:39:19 IST 2024","22924","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_012_click_WorkRequired_Img","Click on Work Required image","Test_description : Click on Work Required image"
"passed","Thu Jan 25 14:44:52 IST 2024","Thu Jan 25 14:45:15 IST 2024","22804","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_031_clickOnSelect","Click on select","Test_description : Click on select"
"passed","Thu Jan 25 14:41:43 IST 2024","Thu Jan 25 14:42:06 IST 2024","22840","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_021_click_VMRS_Image","Click VMRS Image","Test_description : Click VMRS Image"
"passed","Thu Jan 25 14:46:48 IST 2024","Thu Jan 25 14:47:11 IST 2024","22790","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_036_clickOnSummary","Click on Summary","Test_description : Click on Summary"
"passed","Thu Jan 25 14:44:25 IST 2024","Thu Jan 25 14:44:48 IST 2024","22797","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_029_clickOn_AssignedWork","Click on Assigned Work","Test_description : Click on Assigned Work"
"passed","Thu Jan 25 14:41:20 IST 2024","Thu Jan 25 14:41:43 IST 2024","22931","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_020_ClickVMRS","Click on VMRS","Test_description : Click on VMRS"
"passed","Thu Jan 25 14:34:36 IST 2024","Thu Jan 25 14:35:01 IST 2024","24539","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_001_Login_gotoTechRo","Login the page ","Test_description : Login the page"
"passed","Thu Jan 25 14:36:49 IST 2024","Thu Jan 25 14:37:12 IST 2024","22989","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_006_click_MoreUnit","Click on More Works","Test_description : Click on More Works"
"passed","Thu Jan 25 14:44:48 IST 2024","Thu Jan 25 14:44:52 IST 2024","4283","Surefire suite","Surefire test","tests.tech.PauseLabor","tests.tech.PauseLabor","Test_030_verifySelectAssignedWork","Verify select assigned work","Test_description : Verify select assigned work"
