"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 17:16:02 IST 2024","Thu Jan 18 17:17:56 IST 2024","114016","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_005_verifyvoidedDate","Test005: verify Voided Date  ","Test Description :verify Voided Date "
"broken","Thu Jan 18 17:21:30 IST 2024","Thu Jan 18 17:22:54 IST 2024","84156","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_008_verifyHash","Test008: verify Hash ","Test Description :verify Vendor Hash  "
"passed","Thu Jan 18 17:12:38 IST 2024","Thu Jan 18 17:13:11 IST 2024","32738","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_002_clickOnPoNumber","Test002: click on PO number and verify Link/DeLink Labor","Test Description : Click on PO number and Verify Link/DeLink Labor"
"passed","Thu Jan 18 17:13:11 IST 2024","Thu Jan 18 17:14:48 IST 2024","97737","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_003_verifyPurchesOrder","Test003: verify Purches Order ","Test Description :  verify Purches Order "
"passed","Thu Jan 18 17:14:49 IST 2024","Thu Jan 18 17:16:02 IST 2024","73376","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_004_verifyNotes","Test004: verify Notes ","Test Description :verify Notes "
"broken","Thu Jan 18 17:22:54 IST 2024","Thu Jan 18 17:22:54 IST 2024","0","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"skipped","Thu Jan 18 17:22:54 IST 2024","Thu Jan 18 17:22:54 IST 2024","0","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_009_clickOnCancelButton","Test009: click On Cancel Button ","Test Description : click On Cancel Button "
"broken","Thu Jan 18 17:19:34 IST 2024","Thu Jan 18 17:21:29 IST 2024","114951","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_007_verifyLink","Test007: verify Link   ","Test Description :verify Vendor Link   "
"passed","Thu Jan 18 17:12:01 IST 2024","Thu Jan 18 17:12:37 IST 2024","36245","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_001_gotoReceiveParts","Test_001 Login to the page and go to Receive Part screen ","Test Description: Login to the page and go to Receive Part screen  "
"passed","Thu Jan 18 17:17:56 IST 2024","Thu Jan 18 17:19:34 IST 2024","97732","Surefire suite","Surefire test","tests.parts.ReceiveParts","tests.parts.ReceiveParts","Test_006_verifyVendorPart","Test006: verify Vendor Part   ","Test Description :verify Vendor Part  "
