"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 12:19:50 IST 2024","Wed Jan 17 12:20:21 IST 2024","31073","Surefire suite","Surefire test","tests.techRo.DAFServiceManagerPartsRelatedTasks","tests.techRo.DAFServiceManagerPartsRelatedTasks","Test_001_gotoCompleteRo","Test_001_Login the page and Go to CompleteRo Screen","Test Description: Login the page and Go to CompleteRo Screen"
"broken","Wed Jan 17 11:12:46 IST 2024","Wed Jan 17 11:15:11 IST 2024","144850","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","clickOnLabour_clickOnVMRS","T_010 click on Labour and click on VMRS","Test Description - click on Labour and click on VMRS"
"broken","Wed Jan 17 11:07:10 IST 2024","Wed Jan 17 11:09:53 IST 2024","163445","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","clickOnNonCatalogPart_enterValue","T_008 click on Non-Catalog Part and enter the value","Test Description - click on Non-Catalog Part and enter the value"
"passed","Wed Jan 17 11:15:11 IST 2024","Wed Jan 17 11:15:11 IST 2024","47","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","ClickOnMoisesOlivas_Select_OkButton","T_011 Click on MoisesOlivas and Select and ok button","Test Description -Click on MoisesOlivas and Select and ok button"
"broken","Wed Jan 17 12:21:20 IST 2024","Wed Jan 17 12:24:04 IST 2024","163723","Surefire suite","Surefire test","tests.techRo.DAFServiceManagerPartsRelatedTasks","tests.techRo.DAFServiceManagerPartsRelatedTasks","Test_003_clickOnPart","Test_003_click On part Number","Test Description: click On part Number"
"broken","Wed Jan 17 11:01:10 IST 2024","Wed Jan 17 11:04:03 IST 2024","172968","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","verifyPartadded_","T_006 Enter CorePart and click on search icon","Test Description - Enter CorePart and click on search icon"
"passed","Wed Jan 17 11:23:15 IST 2024","Wed Jan 17 11:23:54 IST 2024","38374","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","gotoTechRo","T_001 Sign in the page and Go to the Tech RO","Test Description - Sign in the page and Go to the Tech RO"
"passed","Wed Jan 17 12:28:21 IST 2024","Wed Jan 17 12:29:56 IST 2024","94492","Surefire suite","Surefire test","tests.techRo.DAFServiceManagerPartsRelatedTasks","tests.techRo.DAFServiceManagerPartsRelatedTasks","Test_007_clickOnNonCatalogPart","Test_007_click On Non-Catalog Part ","Test Description: click On Non-Catalog Part "
"broken","Wed Jan 17 11:15:11 IST 2024","Wed Jan 17 11:15:21 IST 2024","10072","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","ClickOnMoisesOlivas_Select_OkButton1","T_012 Click on FirstLaborItem and Select and Ok button","Test Description - Click on FirstLaborItem and Select and Ok button"
"broken","Wed Jan 17 11:09:53 IST 2024","Wed Jan 17 11:12:46 IST 2024","172740","Surefire suite","Surefire test","tests.tech.TechWoParts","tests.tech.TechWoParts","EnterPartNumber_clickIssuePart","T_009 enter Part number and click on Issue part","Test Description - enter Part number and click on Issue part"
