"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jan 25 11:02:06 IST 2024","Thu Jan 25 11:02:06 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_005_verifySearchPartDescription","Test_005 verify Search Part Description ","Test Description:  verify Search Part Description  "
"skipped","Thu Jan 25 11:02:07 IST 2024","Thu Jan 25 11:02:07 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_007_verifyPO","Test_007 verify PO  ","Test Description: verify PO "
"skipped","Thu Jan 25 11:02:06 IST 2024","Thu Jan 25 11:02:06 IST 2024","3","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_001_gotoOrderPartsScreen","Test_001 Login to the page and go to Order Part screen ","Test Description:  Login to the page and go to Order Part screen  "
"skipped","Thu Jan 25 11:02:07 IST 2024","Thu Jan 25 11:02:07 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_008_verifyRequiredPart","Test_008 verify Required Part  ","Test Description: verify Required Part "
"broken","Thu Jan 25 11:02:06 IST 2024","Thu Jan 25 11:02:06 IST 2024","1","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","initialization","initialization",""
"skipped","Thu Jan 25 11:02:06 IST 2024","Thu Jan 25 11:02:06 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_004_clickOnAddButton","Test_004 click On Add Button ","Test Description:  click On Add Button "
"skipped","Thu Jan 25 11:02:07 IST 2024","Thu Jan 25 11:02:07 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_006_inputCoreParentPart","Test_006 input Core Parent Part and sign out  ","Test Description: input Core Parent Part and sign out "
"skipped","Thu Jan 25 11:02:06 IST 2024","Thu Jan 25 11:02:06 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_002_clickOnSpotOrder","Test_002 click On The Spot order Tab ","Test Description:   click On The Spot order Tab  "
"skipped","Thu Jan 25 11:02:06 IST 2024","Thu Jan 25 11:02:06 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_003_inputPartialPartNumber","Test_003  input Partial Part Number ","Test Description:verify input Partial Part Number "
"skipped","Thu Jan 25 11:02:07 IST 2024","Thu Jan 25 11:02:07 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_009_verifyWarehouseText","Test_009 verify Warehouse Text ","Test Description: verify Warehouse Text () "
