"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 19 11:56:48 IST 2024","Fri Jan 19 11:56:48 IST 2024","35","Surefire suite","Surefire test","pages.parts.Spotorderpart","pages.parts.Spotorderpart","generateAllure","generateAllure",""
"passed","Fri Jan 19 12:00:38 IST 2024","Fri Jan 19 12:02:37 IST 2024","118550","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_002_clickOnSpotOrder","Test_002 click On The Spot order Tab ","Test Description:   click On The Spot order Tab  "
"passed","Fri Jan 19 12:19:06 IST 2024","Fri Jan 19 12:23:39 IST 2024","273023","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_008_verifyRequiredPart","Test_008 verify Required Part  ","Test Description: verify Required Part "
"passed","Fri Jan 19 11:59:45 IST 2024","Fri Jan 19 12:00:37 IST 2024","52022","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_001_gotoOrderPartsScreen","Test_001 Login to the page and go to Order Part screen ","Test Description:  Login to the page and go to Order Part screen  "
"passed","Fri Jan 19 12:04:15 IST 2024","Fri Jan 19 12:06:16 IST 2024","120802","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_004_clickOnAddButton","Test_004 click On Add Button ","Test Description:  click On Add Button "
"passed","Fri Jan 19 12:23:39 IST 2024","Fri Jan 19 12:28:06 IST 2024","267197","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_009_verifyWarehouseText","Test_009 verify Warehouse Text ","Test Description: verify Warehouse Text () "
"passed","Fri Jan 19 12:11:03 IST 2024","Fri Jan 19 12:14:53 IST 2024","229676","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_006_inputCoreParentPart","Test_006 input Core Parent Part and sign out  ","Test Description: input Core Parent Part and sign out "
"passed","Fri Jan 19 12:02:37 IST 2024","Fri Jan 19 12:04:15 IST 2024","98442","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_003_inputPartialPartNumber","Test_003  input Partial Part Number ","Test Description:verify input Partial Part Number "
"passed","Fri Jan 19 12:06:16 IST 2024","Fri Jan 19 12:11:03 IST 2024","286898","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_005_verifySearchPartDescription","Test_005 verify Search Part Description ","Test Description:  verify Search Part Description  "
"passed","Fri Jan 19 12:14:53 IST 2024","Fri Jan 19 12:19:06 IST 2024","252688","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_007_verifyPO","Test_007 verify PO  ","Test Description: verify PO "
