"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 10:29:52 IST 2024","Mon Jan 29 10:30:33 IST 2024","40754","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_006_verifyLabour","Test_006_verify Labor","Test Description: verify  Labour "
"passed","Mon Jan 29 10:28:18 IST 2024","Mon Jan 29 10:29:03 IST 2024","45015","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_004_verifyRequiredDate","Test_004_verify Required Date ,Date ,Todays Date","Test Description: verify Required Date ,Date ,Todays Date"
"passed","Mon Jan 29 10:27:00 IST 2024","Mon Jan 29 10:27:25 IST 2024","25027","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_002_clickOnEstimate","Test_002_click On Estimate","Test Description: Go to Go to Service Board Screen"
"passed","Mon Jan 29 10:26:06 IST 2024","Mon Jan 29 10:27:00 IST 2024","53698","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_001_gotoServiceBoardScreen","Test_001_Go to Service Board  Screen","Test Description: Go to Go to Service Board Screen"
"passed","Sat Jan 27 15:27:34 IST 2024","Sat Jan 27 15:29:11 IST 2024","97460","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_004_clickOnAddButton","Test_004 click On Add Button ","Test Description:  click On Add Button "
"passed","Mon Jan 29 10:35:53 IST 2024","Mon Jan 29 10:37:31 IST 2024","98123","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_010_clickOnAddParts","Test_010_click on add Parts","Test Description: click on add Parts"
"passed","Mon Jan 29 10:34:04 IST 2024","Mon Jan 29 10:35:53 IST 2024","109106","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_009_clickonAddLabour","Test_009_click on add Labour","Test Description: click on add Labour "
"passed","Mon Jan 29 10:37:31 IST 2024","Mon Jan 29 10:39:11 IST 2024","99399","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_011_storeLaborCostHeader","Test_011_store LaborCost Header ()","Test Description: store Labor CostHeader ()"
"passed","Mon Jan 29 10:30:33 IST 2024","Mon Jan 29 10:31:22 IST 2024","48922","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_007_verifyAddParts","Test_007_verify Add Parts","Test Description: verify  Add Parts"
"passed","Sat Jan 27 15:26:42 IST 2024","Sat Jan 27 15:27:34 IST 2024","51767","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_003_inputPartialPartNumber","Test_003  input Partial Part Number ","Test Description:verify input Partial Part Number "
"passed","Sat Jan 27 15:25:30 IST 2024","Sat Jan 27 15:26:42 IST 2024","71450","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_002_clickOnSpotOrder","Test_002 click On The Spot order Tab ","Test Description:   click On The Spot order Tab  "
"passed","Mon Jan 29 10:27:25 IST 2024","Mon Jan 29 10:28:18 IST 2024","53175","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_003_RequiredLocation","Test_003_verify Required Location ,Location ,Location value","Test Description: veverifyTotalChargeTwo () rify Required Location ,Location ,Location value"
"passed","Sat Jan 27 15:24:38 IST 2024","Sat Jan 27 15:25:30 IST 2024","52206","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_001_gotoOrderPartsScreen","Test_001 Login to the page and go to Order Part screen ","Test Description:  Login to the page and go to Order Part screen  "
"passed","Mon Jan 29 10:29:03 IST 2024","Mon Jan 29 10:29:52 IST 2024","48898","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_005_verifyPart","Test_005_verify part","Test Description: verify part"
"passed","Mon Jan 29 10:31:22 IST 2024","Mon Jan 29 10:34:04 IST 2024","161872","Surefire suite","Surefire test","tests.Estimate.SubmitAnEstimateServiceManager","tests.Estimate.SubmitAnEstimateServiceManager","Test_008_clickonAddLabour","Test_008_click on add Labour","Test Description: click on add Labour"
