"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 19 17:51:32 IST 2024","Mon Feb 19 17:51:32 IST 2024","1","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_AccessoriesGroup_Img","T_009 Enter Accessories Group Image","Test Description - Enter Accessories Group Image"
"skipped","Mon Feb 19 17:51:32 IST 2024","Mon Feb 19 17:51:32 IST 2024","1","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","again_Add_AeroDynamicDevice","T_008 Check that again add Aerodynamic Device ","Test Description - Check that again add Aerodynamic Device"
"broken","Thu Feb 22 13:20:45 IST 2024","Thu Feb 22 13:20:45 IST 2024","3","Surefire suite","Surefire test","tests.administration.TransitonedPaccar","tests.administration.TransitonedPaccar","initialization","initialization",""
"passed","Tue Feb 13 15:20:13 IST 2024","Tue Feb 13 15:23:37 IST 2024","204236","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_005_clickonPartTextArea","Test_005_click on part Text Area","Test Description:click on part Text Area"
"skipped","Thu Feb 22 13:20:46 IST 2024","Thu Feb 22 13:20:46 IST 2024","1","Surefire suite","Surefire test","tests.administration.TransitonedPaccar","tests.administration.TransitonedPaccar","Test_009_vifyTotalCharge","Test_009_verify Part Failure Required","Test Dscription: verify Part Failure Required"
"skipped","Mon Feb 19 17:51:32 IST 2024","Mon Feb 19 17:51:32 IST 2024","1","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","add_AeroDynamic_Delete_Labour","T_007 Check that add AeroDynamic Device and Delete it from Labour section","Test Description - Check that add AeroDynamic Device and Delete it from Labour section"
"skipped","Thu Feb 22 13:20:46 IST 2024","Thu Feb 22 13:20:46 IST 2024","1","Surefire suite","Surefire test","tests.administration.TransitonedPaccar","tests.administration.TransitonedPaccar","Test_007_verifyPartFailureRequired","Test_007_verify Part Failure Required","Test Description: verify Part Failure Required"
"broken","Mon Feb 19 17:51:32 IST 2024","Mon Feb 19 17:51:32 IST 2024","0","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"skipped","Mon Feb 19 17:51:32 IST 2024","Mon Feb 19 17:51:32 IST 2024","0","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_AeroDynamic_ClickIMG","T_006 Enter Aerodynamic Device and click on Image","Test Description : Enter Aerodynamic Device and click on Image"
"skipped","Mon Feb 19 17:51:32 IST 2024","Mon Feb 19 17:51:32 IST 2024","1","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_AeroDynamic_Device_First","T_005 Enter AderoDynamic Device in search field","Test Description - Enter AderoDynamic Device in search field"
"skipped","Thu Feb 22 13:20:46 IST 2024","Thu Feb 22 13:20:46 IST 2024","1","Surefire suite","Surefire test","tests.administration.TransitonedPaccar","tests.administration.TransitonedPaccar","Test_004_goToCompleteROScreen","Test_004_go To Complete RO Screen","Test Description: go To Complete RO Screen "
