"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 19 10:53:10 IST 2024","Mon Feb 19 10:53:10 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","generateAllure","generateAllure",""
"skipped","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","create_new_part","Test_003 Enter part number and create new part","Test Description:  Enter part number and create new part"
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_004_clickonAddPart","Test_004_click on Add Part","Test Description: click on Add Part"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_007_verifyPO","Test_007 verify PO  ","Test Description: verify PO "
"passed","Tue Feb 20 11:11:46 IST 2024","Tue Feb 20 11:12:28 IST 2024","42470","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","gotoPartsMaster","Test_001 Login to the page and Go To Parts Master","Test Description:  Login to the page and Go To Parts Master"
"passed","Tue Feb 20 11:27:49 IST 2024","Tue Feb 20 11:29:35 IST 2024","105739","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","add_new_counter_sale","Test_003 click on add new counter sale","Test Description : Click on add new counter sale"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_006_inputCoreParentPart","Test_006 input Core Parent Part and sign out  ","Test Description: input Core Parent Part and sign out "
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_008_verifyRequiredPart","Test_008 verify Required Part  ","Test Description: verify Required Part "
"skipped","Tue Feb 20 16:17:31 IST 2024","Tue Feb 20 16:17:31 IST 2024","1","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","Test_001_gotoPMInspectionManager","Test_001_Login the page and Go to create unit Screen","Test Description: Login the page and Go to create unit Screen"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_009_verifyWarehouseText","Test_009 verify Warehouse Text ","Test Description: verify Warehouse Text () "
"passed","Tue Feb 13 14:52:40 IST 2024","Tue Feb 13 14:53:16 IST 2024","36557","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","add_AeroDynamic_Delete_Labour","T_007 Check that add AeroDynamic Device and Delete it from Labour section","Test Description - Check that add AeroDynamic Device and Delete it from Labour section"
"skipped","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","1","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","signOut_verify_username","T_006 click on Sign out","Test Description:  Sign out and verify username"
"skipped","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","search_the_number","Test_004 Search Part number ","Test Description:  Search Part number"
"broken","Mon Feb 19 15:21:44 IST 2024","Mon Feb 19 15:21:44 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","generateAllure","generateAllure",""
"passed","Tue Feb 13 14:49:03 IST 2024","Tue Feb 13 14:50:00 IST 2024","57754","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_Unit_Number","T_002 Verify the Element and Enter the Unit Number","Test Description - Verify the Element and Enter the Unit Number "
"broken","Tue Feb 20 16:17:31 IST 2024","Tue Feb 20 16:17:31 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","initialization","initialization",""
"skipped","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","verify_standard_field","T_005 Verify the Description and click Cost and Pricing Tab","Test Description : Verify Standard field value"
"broken","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","1","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","afterMethodTakeScreenShot","afterMethodTakeScreenShot",""
"skipped","Tue Feb 20 16:17:31 IST 2024","Tue Feb 20 16:17:31 IST 2024","1","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","Test_002_clickOnUnitInspectionInformation","Test_002_click on Unit Inspection Information ","Test Description: click on Unit Inspection Information "
"passed","Tue Feb 20 11:29:35 IST 2024","Tue Feb 20 11:31:19 IST 2024","104119","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_location_popUp","Test_004 verify location pop up","Test Description: verify location pop up"
"skipped","Tue Feb 20 16:17:31 IST 2024","Tue Feb 20 16:17:31 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","Test_004_clickOnAddUnitInspectionInformationTwo","Test_004_click On Add Unit Inspection Information","Test Description: click On Add Unit Inspection Information"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","1","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_001_gotoOrderPartsScreen","Test_001 Login to the page and go to Order Part screen ","Test Description:  Login to the page and go to Order Part screen  "
"passed","Tue Feb 20 11:27:36 IST 2024","Tue Feb 20 11:27:49 IST 2024","13005","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_all_fields","Test_002 verify all the elements in the field","Test Description :  verify all the elements in the field"
"passed","Tue Feb 20 11:31:19 IST 2024","Tue Feb 20 11:31:53 IST 2024","33311","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","verify_counter_sale_page","Test_005 verify counter sale page","Test Description: verify counter sale page "
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_002_clickoNewRo","Test_002_click On New RO","Test Description: click On Reference Number"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_003_inputPartialPartNumber","Test_003  input Partial Part Number ","Test Description:verify input Partial Part Number "
"broken","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","1","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","initialization","initialization",""
"passed","Tue Feb 13 14:47:17 IST 2024","Tue Feb 13 14:49:02 IST 2024","105498","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","gotoTechRo","T_001 Login the page and Go to the Tech Ro","Test Description - Login the page and Go to the Tech Ro "
"passed","Tue Feb 13 14:50:00 IST 2024","Tue Feb 13 14:50:47 IST 2024","47082","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","verifyElement_Click_UnitHistory","T_003 Verify the element and click on Unit History","Test Description - Verify the element and click on Unit History"
"skipped","Mon Feb 19 15:21:34 IST 2024","Mon Feb 19 15:21:34 IST 2024","0","Surefire suite","Surefire test","tests.parts.CreatePart","tests.parts.CreatePart","click_NewPart_Verify_All_Elements","Test_002 click on NewParts and verify all element","Test Description:  Click on NewParts and Verify all element"
"broken","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","1","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","initialization","initialization",""
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_005_clickonPartTextArea","Test_005_click on part Text Area","Test Description:click on part Text Area"
"passed","Tue Feb 13 14:51:10 IST 2024","Tue Feb 13 14:51:57 IST 2024","46823","Surefire suite","Surefire test","tests.tech.TechWoLabor","tests.tech.TechWoLabor","enter_AeroDynamic_Device_First","T_005 Enter AderoDynamic Device in search field","Test Description - Enter AderoDynamic Device in search field"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_005_verifySearchPartDescription","Test_005 verify Search Part Description ","Test Description:  verify Search Part Description  "
"skipped","Tue Feb 20 16:17:31 IST 2024","Tue Feb 20 16:17:31 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","Test_003_clickOnAddUnitInspectionInformation","Test_003_click On Add Unit Inspection Information","Test Description: click On Add Unit Inspection Information"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_002_clickOnSpotOrder","Test_002 click On The Spot order Tab ","Test Description:   click On The Spot order Tab  "
"skipped","Tue Feb 20 16:17:31 IST 2024","Tue Feb 20 16:17:31 IST 2024","0","Surefire suite","Surefire test","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","tests.fleet.UOMforpressureonInspectionInformation_ALLOWED","Test_006_clickonMoreInfo","Test_006_click on MoreInfo","Test Description: click on More Info"
"skipped","Mon Feb 19 10:52:36 IST 2024","Mon Feb 19 10:52:36 IST 2024","2","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","Test_001_gotoCompleteRo","Test_001_Login the page and Go to CompleteRo Screen","Test Description: Login the page and Go to CompleteRo Screen"
"broken","Mon Feb 19 10:52:37 IST 2024","Mon Feb 19 10:52:37 IST 2024","0","Surefire suite","Surefire test","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","tests.Partsrelateditems.Addafabricatedparttoaclosedworkorder","generateAllure","generateAllure",""
"passed","Tue Feb 20 11:26:43 IST 2024","Tue Feb 20 11:27:36 IST 2024","53119","Surefire suite","Surefire test","tests.parts.CounterSale","tests.parts.CounterSale","goto_countersaleManager_screen","Test_001 Login the page and Go to counterSaleManager","Test Description : Login the page and Go to counterSaleManager"
"skipped","Mon Feb 19 10:53:00 IST 2024","Mon Feb 19 10:53:00 IST 2024","0","Surefire suite","Surefire test","tests.parts.Spotorderparts","tests.parts.Spotorderparts","Test_004_clickOnAddButton","Test_004 click On Add Button ","Test Description:  click On Add Button "
