"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Mar 06 13:33:08 IST 2024","Wed Mar 06 13:36:17 IST 2024","188892","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_002_clickonPartNumber","Test_002_click on part number","Test Description - click on part number "
"passed","Wed Mar 06 13:47:00 IST 2024","Wed Mar 06 13:47:28 IST 2024","28358","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_011_clickonSignout","Test_011_click on sign out ","Test Description -click on sign out  "
"broken","Wed Mar 06 13:36:17 IST 2024","Wed Mar 06 13:37:39 IST 2024","82116","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_003_verifyName","Test_003_click on part number","Test Description - click on part number "
"passed","Wed Mar 06 13:32:23 IST 2024","Wed Mar 06 13:33:07 IST 2024","44771","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_001_gotoPartMaster","Test_001_verify and using Login and password credentials","Test Description -verify and using Login and password credentials "
"failed","Wed Mar 06 13:44:45 IST 2024","Wed Mar 06 13:46:58 IST 2024","133401","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_008_verifyWarehouseName","Test_009_verify Warehouse Name ","Test Description -verify Warehouse Name  "
"broken","Wed Mar 06 13:42:10 IST 2024","Wed Mar 06 13:43:32 IST 2024","82452","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_006_verifyCorePart","Test_006_verify Core Part","Test Description -verify Core Part "
"broken","Wed Mar 06 13:39:01 IST 2024","Wed Mar 06 13:42:09 IST 2024","188511","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_005_clickonPartNumberone","Test_005_verify required product group","Test Description -verify required product group "
"passed","Wed Mar 06 13:43:32 IST 2024","Wed Mar 06 13:44:45 IST 2024","72851","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_007_clickonPartNumberone","Test_007_click on Part Numberone","Test Description -click on Part Numberone "
"broken","Wed Mar 06 13:37:39 IST 2024","Wed Mar 06 13:39:01 IST 2024","82048","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_004_RequiredproductGroup","Test_004_verify required product group","Test Description -verify required product group "
"broken","Wed Mar 06 13:46:58 IST 2024","Wed Mar 06 13:47:00 IST 2024","1105","Surefire suite","Surefire test","tests.ticket.UnableToRemoveCoreLink_CONVOY","tests.ticket.UnableToRemoveCoreLink_CONVOY","Test_010_clickonPartNumber","Test_010_verify Warehouse Name ","Test Description -verify Warehouse Name  "
